licencia_id,nombre_comercial,municipio,codi_ine,comarca,tipo_via,nombre_via,numero,codigo_postal,categoria,plazas,habitaciones,nif,razon_social,tipo,es_persona_fisica,titular_id,lat,lon,metodo_match,similitud_nombre,piso,puerta,coordenada_compartida,nivel_geo
ATB-000026,Ginosi,Castelldefels,080569,Baix Llobregat,Carrer,Doctor Ferran,5,08860,Sense categoritzar,30,15,B66413923,"GINOSI APARTELS SPAIN, SLU",apartament_turistic,False,812,,,solo_registre,,,,False,municipio
ATB-000027,Cal Jepa,Olèrdola,081458,Alt Penedès,Carrer,Manuel Crespo,33,08799,Sense categoritzar,12,5,J60648482,LES PIQUES SCP,apartament_turistic,False,999,,,solo_registre,,,,False,municipio
ATB-000028,Royal Marina Gardens I,Castelldefels,080569,Baix Llobregat,Passeig,Marina,40,08860,Sense categoritzar,36,17,B63218473,"ROYAL MARINA GARDENS 40, SL",apartament_turistic,False,572,,,solo_registre,,,,False,municipio
ATB-000029,Royal Marina Gardens II,Castelldefels,080569,Baix Llobregat,Carrer,Divuit,15,08860,Sense categoritzar,36,17,B63218473,"ROYAL MARINA GARDENS 40, SL",apartament_turistic,False,572,,,solo_registre,,,,False,municipio
ATB-000030,APARTAMENTS TURISTICS MASD MEDITERRANEO,Castelldefels,080569,Baix Llobregat,Carrer,DISSET,3,08860,Sense categoritzar,48,17,B63912596,MASD ENTERTAINING SL,apartament_turistic,False,615,,,solo_registre,,,,False,municipio
ATB-000031,Caru,Castelldefels,080569,Baix Llobregat,Carrer,Corunya,26,08860,Sense categoritzar,30,9,B60335387,"BEMIRMA, S.L.",apartament_turistic,False,384,,,solo_registre,,,,False,municipio
ATB-000035,Fernández Adell,Sant Boi de Llobregat,082009,Baix Llobregat,Carrer,Joan Martí,14-16,08830,Sense categoritzar,15,6,B62082151,"FERNANDEZ ADELL, SL",apartament_turistic,False,482,,,solo_registre,,,,False,municipio
ATB-000036,Lam,Torrelles de Llobregat,082896,Baix Llobregat,Avinguda,Dos,s/n,08629,Sense categoritzar,39,13,B60338720,"LAM ORGANIZACION INMOBILIARIA, SL",apartament_turistic,False,385,,,solo_registre,,,,False,municipio
ATB-000037,APARTHOTEL LAS PALMERAS (Antic Cosmopolita),Castelldefels,080569,Baix Llobregat,Passeig,de la Marina,46,08860,Sense categoritzar,34,17,B10565745,"ADG TURISMO, S.L",apartament_turistic,False,239,,,solo_registre,,,,False,municipio
ATB-000038,Casablanca,Calella,080351,Maresme,Avinguda,Valldebanador,13-19,08370,Sense categoritzar,30,15,B60014933,"GESTHOTEL, S.L.",apartament_turistic,False,376,,,solo_registre,,,,False,municipio
ATB-000039,Aragó 44,Castelldefels,080569,Baix Llobregat,Carrer,Aragó,44,08860,Sense categoritzar,16,8,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000041,Bellamar,Malgrat de Mar,081108,Maresme,Carrer,Sant Esteve,20-24,08380,Sense categoritzar,100,50,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000042,MASTER LA RAMBLA,Barcelona,080193,Barcelonès,Carrer,la Rambla,34,08002,Sense categoritzar,69,33,B67552166,ROOMBA RAMBLA SL,apartament_turistic,False,911,,,solo_registre,,,,False,municipio
ATB-000044,Descartes,Barcelona,080193,Barcelonès,Carrer,Descartes,4,08006,Sense categoritzar,30,15,B61456166,"INVERSIONES MOB. E INMOBILIARIAS, S.L.",apartament_turistic,False,437,,,solo_registre,,,,False,municipio
ATB-000049,Villa Sagrada,Barcelona,080193,Barcelonès,Passatge,Vilaret,13,08013,Sense categoritzar,18,9,B64303373,"VILLA SAGRADA, SL",apartament_turistic,False,636,,,solo_registre,,,,False,municipio
ATB-000051,Abarco,Santa Coloma de Gramenet,082457,Barcelonès,Avinguda,Pallaresa,66,08921,Sense categoritzar,30,15,B58652090,BONANOVA APARTHOTEL S.L.,apartament_turistic,False,341,,,solo_registre,,,,False,municipio
ATB-000052,DENIS PLAYA,Castelldefels,080569,Baix Llobregat,Carrer,de l Estrella de Mar,1,08860,Sense categoritzar,28,14,B66497009,MIHER 15 SL,apartament_turistic,False,822,,,solo_registre,,,,False,municipio
ATB-000053,DORAMAR - Apartament 2,Castelldefels,080569,Baix Llobregat,Carrer,de l Estrella de Mar,1,08860,Sense categoritzar,28,14,B66497009,MIHER 15 SL,apartament_turistic,False,822,,,solo_registre,,,,False,municipio
ATB-000056,Marsol,Castelldefels,080569,Baix Llobregat,Avinguda,Castelldefels,112,08860,Sense categoritzar,70,29,B62398540,"CASTELLDEFELS 2000, SL",apartament_turistic,False,504,,,solo_registre,,,,False,municipio
ATB-000062,Tibidabo Apartments,Barcelona,080193,Barcelonès,Carrer,Jericó,20,08035,Sense categoritzar,14,4,B12851747,"CAD GISPERT, S.L.",apartament_turistic,False,245,,,solo_registre,,,,False,municipio
ATB-000072,Apartaments Turistics,Pineda de Mar,081635,Maresme,Carrer,Josep Maria de Sagarra,44-46,08397,Sense categoritzar,116,48,B66240577,"FERGUSPIN, SL",apartament_turistic,False,792,,,solo_registre,,,,False,municipio
ATB-000073,Playafels,Castelldefels,080569,Baix Llobregat,Carrer,Ribera de Sant Pere,16,08860,Sense categoritzar,28,14,A08193732,"RANCHO HOTEL, S.A.",apartament_turistic,False,16,,,solo_registre,,,,False,municipio
ATB-000074,El Petit Palauet,Canet de Mar,080403,Maresme,Carrer,Santisima Trinidad,20,08360,Sense categoritzar,10,5,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000075,Mar Blau,Calella,080351,Maresme,Carrer,Riera Capaspre,75,08370,Sense categoritzar,94,47,A08831869,"APARTAMENTS MAR BLAU, SA",apartament_turistic,False,65,,,solo_registre,,,,False,municipio
ATB-000077,Aurapark Sud,"Hospitalet de Llobregat, l'",081017,Barcelonès,Avinguda,Fabregada,56,08901,Sense categoritzar,170,58,B65421182,"EL CARRILET DE L'HOSPITALET, SL",apartament_turistic,False,701,,,solo_registre,,,,False,municipio
ATB-000080,Grus Apartments,"Masnou, el",081189,Maresme,Carrer,Josep Anselm Clavé,13,08320,Sense categoritzar,20,8,B59752386,Grus watch sl,apartament_turistic,False,366,,,solo_registre,,,,False,municipio
ATB-000081,Ona Living Barcelona,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,Castelao,206,08902,Sense categoritzar,42,21,B61502035,CLUBOTEL LA DORADA SL,apartament_turistic,False,441,,,solo_registre,,,,False,municipio
ATB-000082,SG Costa BCN,Castelldefels,080569,Baix Llobregat,Passeig,Marina,116,08860,Sense categoritzar,124,53,B62991526,SANTIVERI TURISME S.L.,apartament_turistic,False,549,,,solo_registre,,,,False,municipio
ATB-000083,DV Apartamentos,Barcelona,080193,Barcelonès,Carrer,Torns,3,08028,Sense categoritzar,36,18,B60470408,"DIVUIT, SL",apartament_turistic,False,393,,,solo_registre,,,,False,municipio
ATB-000085,El Bosquet Apartaments,Sant Cugat del Vallès,082055,Vallès Occidental,Passeig,Nard,19 Bis,08197,Sense categoritzar,5,2,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000086,Midtown Apartments,Barcelona,080193,Barcelonès,Carrer,Casp,35,08010,Sense categoritzar,100,30,B08303836,PEROMOINVER SLU,apartament_turistic,False,209,,,solo_registre,,,,False,municipio
ATB-000088,Apartamentos Turisticos,Barcelona,080193,Barcelonès,Carrer,Antic de Bofarull,11-15,08026,Sense categoritzar,18,9,B87236188,PAIMAC Investments SLU,apartament_turistic,False,955,,,solo_registre,,,,False,municipio
ATB-000089,Hostemplo,Barcelona,080193,Barcelonès,Carrer,"Sicilia, 276-280",276-280,08013,Sense categoritzar,20,10,B65444234,"HOSTEMPLO, S.L. c/ SICILIA, 280  BARCELONA",apartament_turistic,False,703,,,solo_registre,,,,False,municipio
ATB-000090,Passeig Marina,Castelldefels,080569,Baix Llobregat,Passeig,Marina,110,08860,Sense categoritzar,34,17,B66582677,"ESSENCE PATRIMONIOS, SL",apartament_turistic,False,830,,,solo_registre,,,,False,municipio
ATB-000091,Kare No Art Studios,Sitges,082704,Garraf,Carrer,Nou,6,08870,Sense categoritzar,14,7,B66252347,XAPINES LUXURY RESIDENCES SL,apartament_turistic,False,793,,,solo_registre,,,,False,municipio
ATB-000093,Bellavista-Can Fisa,Corbera de Llobregat,080728,Baix Llobregat,Carrer,Bellavista,6,08757,Sense categoritzar,54,24,B60431533,FITEL S.L.,apartament_turistic,False,390,,,solo_registre,,,,False,municipio
ATB-000156,Apartaments turístics Angel Guimerà 94,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,Àngel Guimerà,94,08902,Sense categoritzar,17,7,B61841615,INMOBILIARIA LLONLLUIS SL,apartament_turistic,False,465,,,solo_registre,,,,False,municipio
ATB-000163,FERIAPISO APARTMENTS,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,d' Amadeu Vives,42,08906,Sense categoritzar,10,3,B62057948,"METROCUADRADO INVERSORES ASOCIADOS, S.L.",apartament_turistic,False,479,,,solo_registre,,,,False,municipio
ATB-000167,APARTAMENTS COMFORT CALELLA,Calella,080351,Maresme,Carrer,de Narcís Monturiol,90,08370,Sense categoritzar,54,27,B17890153,"LIDERSTARS, S.L.",apartament_turistic,False,266,,,solo_registre,,,,False,municipio
ATB-000170,Apartaments Checkin Beatrix,Pineda de Mar,081635,Maresme,Carrer,de les Arpelles,15,08397,Sense categoritzar,64,32,B66458191,CHECKIN PINEDA S.L.,apartament_turistic,False,817,,,solo_registre,,,,False,municipio
ATB-000172,Pis a L'Ametlla de Merola,Puig-reig,081751,Berguedà,Carrer,Vell,11,08672,Sense categoritzar,6,3,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000178,CASTELL BEACH,Castelldefels,080569,Baix Llobregat,Avinguda,de Castelldefels,191,08860,Sense categoritzar,63,26,B42915256,"SARFELS 2020,S.L.",apartament_turistic,False,287,,,solo_registre,,,,False,municipio
ATB-000181,PROGRES 56,Badalona,080155,Barcelonès,Carrer,PROGRES,56,08912,Sense categoritzar,16,7,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000182,BADANSELM RENT,Badalona,080155,Barcelonès,Carrer,d' Anselm Clavé,16,08912,Sense categoritzar,18,6,B67053124,ANSELMUSEO S.L.,apartament_turistic,False,877,,,solo_registre,,,,False,municipio
ATB-000183,MARQUES DE MONTROIG 1,Badalona,080155,Barcelonès,Avinguda,del Marquès de Mont-roig,1,08912,Sense categoritzar,14,4,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000184,MUSEO APARTAMENT RENT,Badalona,080155,Barcelonès,Carrer,MUSEO,23,08912,Sense categoritzar,18,6,B67053124,ANSELMUSEO S.L.,apartament_turistic,False,877,,,solo_registre,,,,False,municipio
ATB-000185,Sense especificar,Mataró,081213,Maresme,Baixada,de les Figueretes,5,08301,Sense categoritzar,4,2,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000189,BADAMAR HOUSE,Badalona,080155,Barcelonès,Carrer,de l' Olivera de Sistrells,37,08917,Sense categoritzar,9,3,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000196,Villa Muniente,Badalona,080155,Barcelonès,Carrer,de Cadaqués,27,08916,Sense categoritzar,4,2,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000204,MADRE MÍA! BARCELONA APARTAMENTOS,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,de Mas,156,08904,Sense categoritzar,11,3,B66697525,LAMBERT REAL ESTATE SL,apartament_turistic,False,848,,,solo_registre,,,,False,municipio
ATB-000211,Llicència turística,Badalona,080155,Barcelonès,Carrer,Pi i Gibert,56,08913,Sense categoritzar,8,4,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000222,APARTAMENTS VORALMAR,Caldes d'Estrac,080327,Maresme,Carrer,del Remei,2,08393,Sense categoritzar,20,6,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000223,ART APARTMENTS,Castelldefels,080569,Baix Llobregat,Avinguda,"de la Constitució (cantonada del carrer Doctor Ferran, 1)",164,08860,Sense categoritzar,60,28,B63196570,TOTRIBA S.L,apartament_turistic,False,570,,,solo_registre,,,,False,municipio
ATB-000233,ROSA DE ABRIL,Teià,082819,Maresme,Carrer,de la Camèlia,19,08329,Sense categoritzar,30,11,B67111856,"ABEL ABRIL, SL",apartament_turistic,False,883,,,solo_registre,,,,False,municipio
ATB-000234,Rosich 15,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,de Rosich,15,08904,Sense categoritzar,20,6,B81108805,Epómenes SL,apartament_turistic,False,938,,,solo_registre,,,,False,municipio
ATB-000237,BALISSE,Castelldefels,080569,Baix Llobregat,Passeig,Marítim,197,08860,Sense categoritzar,22,11,A59151803,"INMOBILIARIA PAMIL, S.A.",apartament_turistic,False,145,,,solo_registre,,,,False,municipio
ATB-000239,8 LACUS,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,Reverter,10,08903,Sense categoritzar,17,8,B02902278,REVERTER TURISMO S.L,apartament_turistic,False,188,,,solo_registre,,,,False,municipio
ATB-000242,Les Begues Apartments,Begues,080207,Baix Llobregat,Carrer,Indústria,19,08859,Sense categoritzar,22,11,B64471253,"CITYTRIP BARCELONA, SL",apartament_turistic,False,642,,,solo_registre,,,,False,municipio
ATB-000256,WEFLATING FIRA,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,de Miquel Romeu,43,08901,Sense categoritzar,20,10,B64848203,AVALOOM ASESORIA E INVERSIONES S.L.,apartament_turistic,False,662,,,solo_registre,,,,False,municipio
ATB-000260,BAMBLUE BOUTIQUE APARTMENTS,Pineda de Mar,081635,Maresme,Rambla,Catalunya,40,08397,Sense categoritzar,154,49,A08335135,HOTELES TURISTICOS SA,apartament_turistic,False,37,,,solo_registre,,,,False,municipio
ATB-000268,APARTAMENTS TURISTICS,"Hospitalet de Llobregat, l'",081017,Barcelonès,Avinguda,DR. MARTI JULIA,101,08903,Sense categoritzar,18,9,B67201863,DIEGUEZ ORRIT S.L,apartament_turistic,False,890,,,solo_registre,,,,False,municipio
ATB-000274,APARTACO APARTAMENTOS,Sitges,082704,Garraf,Carrer,d'en Tacó,6,08870,Sense categoritzar,6,3,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000275,Topdown Apartments,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,Enric Morera,30,08902,Sense categoritzar,10,5,B63502652,NOVITA INVERSIONS SL,apartament_turistic,False,585,,,solo_registre,,,,False,municipio
ATB-000276,MONTURIOL APARTAMENTS,Barcelona,080193,Barcelonès,Carrer,de Monturiol,23,08018,Sense categoritzar,18,9,B65373466,SORT BWOK S.L.,apartament_turistic,False,697,,,solo_registre,,,,False,municipio
ATB-000277,APARTAMENTOS TURÍSTICOS - EDIFICIO MANHATTAN,Sitges,082704,Garraf,Carrer,d' Àngel Vidal,18,08870,Sense categoritzar,8,3,B59377747,"EDIFICIO MANHATTAN, SL",apartament_turistic,False,358,,,solo_registre,,,,False,municipio
ATB-000280,Fira Building,"Hospitalet de Llobregat, l'",081017,Barcelonès,Passatge,Miner,18,08901,Sense categoritzar,7,3,B67607119,SADET LLAVANERES S.L.,apartament_turistic,False,919,,,solo_registre,,,,False,municipio
ATB-000281,EL NIU,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,de Llançà,32,08904,Sense categoritzar,11,4,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000286,EUROPA BARCELONA APARTMENT,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,del Prat de la Manta,55,08902,4 claus,65,16,B67528489,PRAT DE LA MANTA 55 SLU,apartament_turistic,False,909,,,solo_registre,,,,False,municipio
ATB-000287,FELS APARTMENTS,Castelldefels,080569,Baix Llobregat,Passeig,de la Tramuntana,125,08860,Sense categoritzar,107,28,B65690794,PROMOTORA MERCAL 2011 SL,apartament_turistic,False,719,,,solo_registre,,,,False,municipio
ATB-000288,AT Dalt Badalona,Badalona,080155,Barcelonès,Carrer,BARCELONA,30-32,08911,Sense categoritzar,19,6,B66549064,PELEVEN SL,apartament_turistic,False,829,,,solo_registre,,,,False,municipio
ATB-000289,PENSI,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,TRANSVERSAL,19,08902,Sense categoritzar,24,7,B43656164,INVERSIONES INMOBILIARIAS MOLLET S.L.,apartament_turistic,False,291,,,solo_registre,,,,False,municipio
ATB-000291,CAN TIRANASI,Badalona,080155,Barcelonès,Carrer,de Sant Sebastià,12,08911,Sense categoritzar,29,6,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATB-000292,WOLF HOUSE,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,de Font,60,08905,Sense categoritzar,19,8,B09741471,WOLF HOUSE CAPITAL SL,apartament_turistic,False,234,,,solo_registre,,,,False,municipio
ATB-000294,EDIFICI DAPARTAMENTS TURÍSTICS,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,Albéniz,12,08906,Sense categoritzar,19,8,B63666887,STAY U-NIQUE S.L.,apartament_turistic,False,600,,,solo_registre,,,,False,municipio
ATB-000303,APARTAMENTS TURISTICS VILA BADALONA,Badalona,080155,Barcelonès,Carrer,Barcelona,2,08911,Sense categoritzar,19,6,B66549064,PELEVEN SL,apartament_turistic,False,829,,,solo_registre,,,,False,municipio
ATB-000304,ARIQUS FIRA APARTMENTS,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,Modern,70,08902,Sense categoritzar,20,10,B66866153,"ARIQUS EXPERIENCE, S.L.",apartament_turistic,False,864,,,solo_registre,,,,False,municipio
ATB-000305,APARTAMENTS TURISTICS,Sitges,082704,Garraf,Carrer,de Sant Bartomeu,26,08870,Sense categoritzar,17,11,B66424987,GC REAL ESTATE SL,apartament_turistic,False,814,,,solo_registre,,,,False,municipio
ATB-000310,BRABO APARTMENTS,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,Comerç,69,08902,Sense categoritzar,46,12,B67065466,PETRICOR 67 S.L.,apartament_turistic,False,879,,,solo_registre,,,,False,municipio
ATB-000311,Topdown Barcelona,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,Modern,50,08902,Sense categoritzar,13,5,B63502652,NOVITA INVERSIONS SL,apartament_turistic,False,585,,,solo_registre,,,,False,municipio
ATB-000313,APARTAMENTS TURISTICS,"Hospitalet de Llobregat, l'",081017,Barcelonès,Carrer,Mare de Déu dels Desemparats,32,08903,Sense categoritzar,19,8,B66823899,"R Y ADLER PROMOCIONES, S.L.",apartament_turistic,False,861,,,solo_registre,,,,False,municipio
ATCC-000003,Ca L'Americano,"Llacuna, la",081043,Anoia,Carrer,Vilademeger,s/n,08779,Sense categoritzar,21,9,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATCC-000004,Can Vilafort,Collsuspina,080706,Moianès,Carrer,Major,33,08178,Sense categoritzar,20,7,B64747652,"CAN XARINA, SL",apartament_turistic,False,659,,,solo_registre,,,,False,municipio
ATCC-000005,Nord,Capellades,080446,Anoia,Passeig,Miquel i Mas,21,08786,Sense categoritzar,12,6,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATCC-000008,Els Cingles,Tavertet,082802,Osona,Carrer,Jaume Balmes,47-49,08511,Sense categoritzar,13,3,J63427777,"NATURLLEURE, SCP",apartament_turistic,False,1009,,,solo_registre,,,,False,municipio
ATCC-000011,Tilopi,Roda de Ter,081831,Osona,Carrer,Tecla Sala,18,08510,Sense categoritzar,30,6,B62950308,"ACTIVITATS TURISTIQUES D'OSONA, SL",apartament_turistic,False,545,,,solo_registre,,,,False,municipio
ATCC-000013,Ca l'Estamenya,Perafita,081607,Lluçanès,Plaça,Major,9,08589,Sense categoritzar,19,5,B64690274,"AGROBOTIGA I APARTAMENTS TURÍSTICS LLUÇANÈS, S.L.",apartament_turistic,False,656,,,solo_registre,,,,False,municipio
ATCC-000014,Casanova de Pere Riera,Muntanyola,081290,Osona,Cases,Nova de Pere Riera,s/n,08529,Sense categoritzar,4,2,B64948359,CASANOVA RURAL SL,apartament_turistic,False,666,,,solo_registre,,,,False,municipio
ATCC-000016,Ca l'Alzina,Perafita,081607,Lluçanès,Plaça,Major,3 Bis,08589,Sense categoritzar,8,2,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATCC-000018,Casa Cal Xaro,"Pobla de Claramunt, la",081653,Anoia,Avinguda,Font del Vinço,1,08787,Sense categoritzar,11,1,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATCC-000020,Can Pistola,Borredà,080240,Berguedà,Carrer,Placeta,1,08619,Sense categoritzar,6,3,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATCC-000025,Can Nogué,Tavertet,082802,Osona,Carrer,del Castell,5,08511,Sense categoritzar,4,1,B02791895,Miquel Pons 2021 s.l,apartament_turistic,False,183,,,solo_registre,,,,False,municipio
ATCC-000026,L'Alzina,Tavertet,082802,Osona,Carrer,Jaume Balmes,28,08511,Sense categoritzar,7,3,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATCC-000027,Cel.les Abat Marcet,Monistrol de Montserrat,081271,Bages,Carrer,Monestir de Montserrat,s/n,08199,Sense categoritzar,236,79,A28059483,"L¿Agrícola Regional, S.A (L¿ARSA)",apartament_turistic,False,81,,,solo_registre,,,,False,municipio
ATCC-000173,APARTAMENT AVELINA,Gironella,080924,Berguedà,Carrer,d' Anselm Clavé,9,08680,Sense categoritzar,6,3,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATCC-000218,Agulles de Montserrat,Monistrol de Montserrat,081271,Bages,Carrer,de les Guilleumes,1,08691,Sense categoritzar,8,4,B67373779,"Apartaments Agulles de Montserrat, SL",apartament_turistic,False,901,,,solo_registre,,,,False,municipio
ATCC-000224,CA LA RAMONA,Castellbell i el Vilar,080538,Bages,Barri,Sant Cristòfol,s/n,08296,Sense categoritzar,8,4,E56983042,BATORT CB,apartament_turistic,False,965,,,solo_registre,,,,False,municipio
ATCC-000267,APARTAMENTOS EN MANRESA,Manresa,081136,Bages,Carrer,Casanova,5,08241,Sense categoritzar,13,4,B66734609,PR58 SERVEIS GLOBALS SL,apartament_turistic,False,852,,,solo_registre,,,,False,municipio
ATCC-000282,Holidays Domus Papokkio,Igualada,081022,Anoia,Carrer,de Sant Roc,19,08700,Sense categoritzar,9,4,,,apartament_turistic,True,,,,solo_registre,,,,False,municipio
ATCC-000316,SOCIETAT D'INVERSIO MONROS ARCONADA SL,Manresa,081136,Bages,Carrer,Major 85- Carrer Flor de Lis,1-3,08242,Sense categoritzar,6,3,B58253477,SOCIETAT D'INVERSIO MONROS ARCONADA SL,apartament_turistic,False,324,,,solo_registre,,,,False,municipio
