licencia_id,nombre_comercial,tipo,municipio,codi_ine,barrio,categoria,estrellas,tipo_alojamiento,plazas,habitaciones,titular_id,lat,lon,precision,precio_noche_final,banda_precio,precio_plaza,banda_plaza,precio_es_estimado,apoyo_estimacion
ATB-000028,Royal Marina Gardens I,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,36.0,17.0,572.0,41.26784145,1.99282466,geocodificada,,,,,,
ATB-000029,Royal Marina Gardens II,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,36.0,17.0,572.0,,,,,,,,,
ATB-000030,APARTAMENTS TURISTICS MASD MEDITERRANEO,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,48.0,17.0,615.0,,,,,,,,,
ATB-000031,Caru,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,30.0,9.0,384.0,41.2732501,1.97913301,geocodificada,,,,,,
ATB-000035,Fernández Adell,apartament_turistic,Sant Boi de Llobregat,082009,,Sense categoritzar,,,15.0,6.0,482.0,41.34705335,2.03507331,geocodificada,,,,,,
ATB-000036,Lam,apartament_turistic,Torrelles de Llobregat,082896,,Sense categoritzar,,,39.0,13.0,385.0,,,,,,,,,
ATB-000037,APARTHOTEL LAS PALMERAS (Antic Cosmopolita),apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,34.0,17.0,239.0,41.26790216,1.99234889,geocodificada,,,,,,
ATB-000038,Casablanca,apartament_turistic,Calella,080351,,Sense categoritzar,,,30.0,15.0,376.0,,,,,,,,,
ATB-000039,Aragó 44,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,16.0,8.0,,41.27157506,1.98457967,geocodificada,,,,,,
ATB-000041,Bellamar,apartament_turistic,Malgrat de Mar,081108,,Sense categoritzar,,,100.0,50.0,,41.642782,2.74269558,geocodificada,,,,,,
ATB-000042,MASTER LA RAMBLA,apartament_turistic,Barcelona,080193,el Barri Gòtic,Sense categoritzar,,apartament_turistic,69.0,33.0,911.0,41.37886667,2.17584125,geocodificada,253.62,€€€,121.3,€€€€,False,observado
ATB-000044,Descartes,apartament_turistic,Barcelona,080193,Sant Gervasi - Galvany,Sense categoritzar,,apartament_turistic,30.0,15.0,437.0,41.40038137,2.14306326,geocodificada,145.75,€€,72.88,€€€,True,escaso
ATB-000049,Villa Sagrada,apartament_turistic,Barcelona,080193,la Sagrada Família,Sense categoritzar,,apartament_turistic,18.0,9.0,636.0,41.40611736,2.18017454,geocodificada,153.0,€€,76.5,€€€,True,escaso
ATB-000051,Abarco,apartament_turistic,Santa Coloma de Gramenet,082457,,Sense categoritzar,,,30.0,15.0,341.0,,,,,,,,,
ATB-000052,DENIS PLAYA,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,28.0,14.0,822.0,41.26524268,1.96662338,geocodificada,,,,,,
ATB-000053,DORAMAR - Apartament 2,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,28.0,14.0,822.0,41.26524268,1.96662338,geocodificada,,,,,,
ATB-000056,Marsol,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,70.0,29.0,504.0,41.27009984,1.9831752,geocodificada,,,,,,
ATB-000062,Tibidabo Apartments,apartament_turistic,Barcelona,080193,Sant Genís dels Agudells,Sense categoritzar,,apartament_turistic,14.0,4.0,245.0,41.42139829,2.13865956,geocodificada,161.02,€€,46.01,€€,False,observado
ATB-000072,Apartaments Turistics,apartament_turistic,Pineda de Mar,081635,,Sense categoritzar,,,116.0,48.0,792.0,41.62350168,2.68412514,geocodificada,,,,,,
ATB-000073,Playafels,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,28.0,14.0,16.0,41.26526956,1.96752671,geocodificada,,,,,,
ATB-000074,El Petit Palauet,apartament_turistic,Canet de Mar,080403,,Sense categoritzar,,,10.0,5.0,,,,,,,,,,
ATB-000075,Mar Blau,apartament_turistic,Calella,080351,,Sense categoritzar,,,94.0,47.0,65.0,41.61405061,2.65346108,geocodificada,,,,,,
ATB-000077,Aurapark Sud,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,170.0,58.0,701.0,,,,,,,,,
ATB-000080,Grus Apartments,apartament_turistic,"Masnou, el",081189,,Sense categoritzar,,,20.0,8.0,366.0,,,,,,,,,
ATB-000081,Ona Living Barcelona,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,42.0,21.0,441.0,,,,,,,,,
ATB-000082,SG Costa BCN,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,124.0,53.0,549.0,41.26786314,1.97926954,geocodificada,,,,,,
ATB-000083,DV Apartamentos,apartament_turistic,Barcelona,080193,Sants - Badal,Sense categoritzar,,apartament_turistic,36.0,18.0,393.0,41.37402238,2.12480175,geocodificada,113.4,€€,56.7,€€,False,observado
ATB-000085,El Bosquet Apartaments,apartament_turistic,Sant Cugat del Vallès,082055,,Sense categoritzar,,,5.0,2.0,,41.45972533,2.04715183,geocodificada,,,,,,
ATB-000086,Midtown Apartments,apartament_turistic,Barcelona,080193,la Dreta de l'Eixample,Sense categoritzar,,apartament_turistic,100.0,30.0,209.0,41.39122438,2.17300359,geocodificada,240.35,€€€,72.1,€€€,False,observado
ATB-000088,Apartamentos Turisticos,apartament_turistic,Barcelona,080193,el Camp de l'Arpa del Clot,Sense categoritzar,,apartament_turistic,18.0,9.0,955.0,41.41074115,2.18615951,geocodificada,152.64999389648438,€€,76.32,€€€,True,escaso
ATB-000089,Hostemplo,apartament_turistic,Barcelona,080193,la Sagrada Família,Sense categoritzar,,apartament_turistic,20.0,10.0,703.0,41.40086452,2.17460967,geocodificada,164.5,€€,82.25,€€€,True,escaso
ATB-000090,Passeig Marina,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,34.0,17.0,830.0,41.26783639,1.98023859,geocodificada,,,,,,
ATB-000091,Kare No Art Studios,apartament_turistic,Sitges,082704,,Sense categoritzar,,,14.0,7.0,793.0,41.23542687,1.81098465,geocodificada,,,,,,
ATB-000093,Bellavista-Can Fisa,apartament_turistic,Corbera de Llobregat,080728,,Sense categoritzar,,,54.0,24.0,390.0,41.41660052,1.9186836,geocodificada,,,,,,
ATB-000156,Apartaments turístics Angel Guimerà 94,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,17.0,7.0,465.0,,,,,,,,,
ATB-000163,FERIAPISO APARTMENTS,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,10.0,3.0,479.0,,,,,,,,,
ATB-000167,APARTAMENTS COMFORT CALELLA,apartament_turistic,Calella,080351,,Sense categoritzar,,,54.0,27.0,266.0,41.61850575,2.66549301,geocodificada,,,,,,
ATB-000170,Apartaments Checkin Beatrix,apartament_turistic,Pineda de Mar,081635,,Sense categoritzar,,,64.0,32.0,817.0,41.62623,2.69352616,geocodificada,,,,,,
ATB-000172,Pis a L'Ametlla de Merola,apartament_turistic,Puig-reig,081751,,Sense categoritzar,,,6.0,3.0,,41.90876196,1.88252929,geocodificada,,,,,,
ATB-000178,CASTELL BEACH,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,63.0,26.0,287.0,41.2684901,1.97157507,geocodificada,,,,,,
ATB-000181,PROGRES 56,apartament_turistic,Badalona,080155,,Sense categoritzar,,,16.0,7.0,,41.44366211,2.24272139,geocodificada,,,,,,
ATB-000182,BADANSELM RENT,apartament_turistic,Badalona,080155,,Sense categoritzar,,,18.0,6.0,877.0,41.44968404,2.24438918,geocodificada,,,,,,
ATB-000183,MARQUES DE MONTROIG 1,apartament_turistic,Badalona,080155,,Sense categoritzar,,,14.0,4.0,,41.44497165,2.23945345,geocodificada,,,,,,
ATB-000184,MUSEO APARTAMENT RENT,apartament_turistic,Badalona,080155,,Sense categoritzar,,,18.0,6.0,877.0,41.44992588,2.24406413,geocodificada,,,,,,
ATB-000185,Sense especificar,apartament_turistic,Mataró,081213,,Sense categoritzar,,,4.0,2.0,,41.54033686,2.44858196,geocodificada,,,,,,
ATB-000189,BADAMAR HOUSE,apartament_turistic,Badalona,080155,,Sense categoritzar,,,9.0,3.0,,41.44789866,2.22877675,geocodificada,,,,,,
ATB-000196,Villa Muniente,apartament_turistic,Badalona,080155,,Sense categoritzar,,,4.0,2.0,,41.47720015,2.23644463,geocodificada,,,,,,
ATB-000204,MADRE MÍA! BARCELONA APARTAMENTOS,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,11.0,3.0,848.0,,,,,,,,,
ATB-000211,Llicència turística,apartament_turistic,Badalona,080155,,Sense categoritzar,,,8.0,4.0,,41.43714865,2.22035385,geocodificada,,,,,,
ATB-000222,APARTAMENTS VORALMAR,apartament_turistic,Caldes d'Estrac,080327,,Sense categoritzar,,,20.0,6.0,,41.57048722,2.52618532,geocodificada,,,,,,
ATB-000223,ART APARTMENTS,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,60.0,28.0,570.0,41.27834069,1.97704307,geocodificada,,,,,,
ATB-000233,ROSA DE ABRIL,apartament_turistic,Teià,082819,,Sense categoritzar,,,30.0,11.0,883.0,41.48905781,2.32062433,geocodificada,,,,,,
ATB-000234,Rosich 15,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,20.0,6.0,938.0,,,,,,,,,
ATB-000237,BALISSE,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,22.0,11.0,145.0,41.26595542,1.97082741,geocodificada,,,,,,
ATB-000239,8 LACUS,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,17.0,8.0,188.0,,,,,,,,,
ATB-000242,Les Begues Apartments,apartament_turistic,Begues,080207,,Sense categoritzar,,,22.0,11.0,642.0,41.333435,1.90614424,geocodificada,,,,,,
ATB-000256,WEFLATING FIRA,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,20.0,10.0,662.0,,,,,,,,,
ATB-000260,BAMBLUE BOUTIQUE APARTMENTS,apartament_turistic,Pineda de Mar,081635,,Sense categoritzar,,,154.0,49.0,37.0,41.62316312,2.68378603,geocodificada,,,,,,
ATB-000268,APARTAMENTS TURISTICS,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,18.0,9.0,890.0,,,,,,,,,
ATB-000274,APARTACO APARTAMENTOS,apartament_turistic,Sitges,082704,,Sense categoritzar,,,6.0,3.0,,41.23574374,1.8106754,geocodificada,,,,,,
ATB-000275,Topdown Apartments,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,10.0,5.0,585.0,,,,,,,,,
ATB-000276,MONTURIOL APARTAMENTS,apartament_turistic,Barcelona,080193,el Clot,Sense categoritzar,,apartament_turistic,18.0,9.0,697.0,41.41002109,2.19243613,geocodificada,152.09,€€,76.04,€€€,False,observado
ATB-000277,APARTAMENTOS TURÍSTICOS - EDIFICIO MANHATTAN,apartament_turistic,Sitges,082704,,Sense categoritzar,,,8.0,3.0,358.0,41.23644026,1.81049993,geocodificada,,,,,,
ATB-000280,Fira Building,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,7.0,3.0,919.0,,,,,,,,,
ATB-000281,EL NIU,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,11.0,4.0,,,,,,,,,,
ATB-000286,EUROPA BARCELONA APARTMENT,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,4 claus,,,65.0,16.0,909.0,,,,,,,,,
ATB-000287,FELS APARTMENTS,apartament_turistic,Castelldefels,080569,,Sense categoritzar,,,107.0,28.0,719.0,41.26853603,1.98160255,geocodificada,,,,,,
ATB-000288,AT Dalt Badalona,apartament_turistic,Badalona,080155,,Sense categoritzar,,,19.0,6.0,829.0,41.45180644,2.24498002,geocodificada,,,,,,
ATB-000289,PENSI,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,24.0,7.0,291.0,,,,,,,,,
ATB-000291,CAN TIRANASI,apartament_turistic,Badalona,080155,,Sense categoritzar,,,29.0,6.0,,41.4516313,2.24627837,geocodificada,,,,,,
ATB-000292,WOLF HOUSE,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,19.0,8.0,234.0,,,,,,,,,
ATB-000294,EDIFICI DAPARTAMENTS TURÍSTICS,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,19.0,8.0,600.0,,,,,,,,,
ATB-000303,APARTAMENTS TURISTICS VILA BADALONA,apartament_turistic,Badalona,080155,,Sense categoritzar,,,19.0,6.0,829.0,41.45222115,2.245751,geocodificada,,,,,,
ATB-000304,ARIQUS FIRA APARTMENTS,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,20.0,10.0,864.0,,,,,,,,,
ATB-000305,APARTAMENTS TURISTICS,apartament_turistic,Sitges,082704,,Sense categoritzar,,,17.0,11.0,814.0,41.23748856,1.80915722,geocodificada,,,,,,
ATB-000310,BRABO APARTMENTS,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,46.0,12.0,879.0,,,,,,,,,
ATB-000311,Topdown Barcelona,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,13.0,5.0,585.0,,,,,,,,,
ATB-000313,APARTAMENTS TURISTICS,apartament_turistic,"Hospitalet de Llobregat, l'",081017,,Sense categoritzar,,,19.0,8.0,861.0,,,,,,,,,
ATCC-000003,Ca L'Americano,apartament_turistic,"Llacuna, la",081043,,Sense categoritzar,,,21.0,9.0,,,,,,,,,,
ATCC-000004,Can Vilafort,apartament_turistic,Collsuspina,080706,,Sense categoritzar,,,20.0,7.0,659.0,41.82576713,2.17545273,geocodificada,,,,,,
ATCC-000005,Nord,apartament_turistic,Capellades,080446,,Sense categoritzar,,,12.0,6.0,,,,,,,,,,
ATCC-000008,Els Cingles,apartament_turistic,Tavertet,082802,,Sense categoritzar,,,13.0,3.0,1009.0,41.99429023,2.41606521,geocodificada,,,,,,
ATCC-000011,Tilopi,apartament_turistic,Roda de Ter,081831,,Sense categoritzar,,,30.0,6.0,545.0,41.98573947,2.31103125,geocodificada,,,,,,
ATCC-000013,Ca l'Estamenya,apartament_turistic,Perafita,081607,,Sense categoritzar,,,19.0,5.0,656.0,42.04182487,2.10711779,geocodificada,,,,,,
ATCC-000014,Casanova de Pere Riera,apartament_turistic,Muntanyola,081290,,Sense categoritzar,,,4.0,2.0,666.0,41.93419926,2.12051367,geocodificada,,,,,,
ATCC-000016,Ca l'Alzina,apartament_turistic,Perafita,081607,,Sense categoritzar,,,8.0,2.0,,,,,,,,,,
ATCC-000018,Casa Cal Xaro,apartament_turistic,"Pobla de Claramunt, la",081653,,Sense categoritzar,,,11.0,1.0,,,,,,,,,,
ATCC-000020,Can Pistola,apartament_turistic,Borredà,080240,,Sense categoritzar,,,6.0,3.0,,,,,,,,,,
ATCC-000025,Can Nogué,apartament_turistic,Tavertet,082802,,Sense categoritzar,,,4.0,1.0,183.0,41.99416717,2.41731183,geocodificada,,,,,,
ATCC-000026,L'Alzina,apartament_turistic,Tavertet,082802,,Sense categoritzar,,,7.0,3.0,,41.99515343,2.41669545,geocodificada,,,,,,
ATCC-000027,Cel.les Abat Marcet,apartament_turistic,Monistrol de Montserrat,081271,,Sense categoritzar,,,236.0,79.0,81.0,,,,,,,,,
ATCC-000173,APARTAMENT AVELINA,apartament_turistic,Gironella,080924,,Sense categoritzar,,,6.0,3.0,,42.03585746,1.88454254,geocodificada,,,,,,
ATCC-000218,Agulles de Montserrat,apartament_turistic,Monistrol de Montserrat,081271,,Sense categoritzar,,,8.0,4.0,901.0,41.61005427,1.8408315,geocodificada,,,,,,
ATCC-000224,CA LA RAMONA,apartament_turistic,Castellbell i el Vilar,080538,,Sense categoritzar,,,8.0,4.0,965.0,41.63978548,1.81815006,geocodificada,,,,,,
ATCC-000267,APARTAMENTOS EN MANRESA,apartament_turistic,Manresa,081136,,Sense categoritzar,,,13.0,4.0,852.0,41.72678717,1.82428588,geocodificada,,,,,,
ATCC-000282,Holidays Domus Papokkio,apartament_turistic,Igualada,081022,,Sense categoritzar,,,9.0,4.0,,41.57829863,1.61748329,geocodificada,,,,,,
ATCC-000316,SOCIETAT D'INVERSIO MONROS ARCONADA SL,apartament_turistic,Manresa,081136,,Sense categoritzar,,,6.0,3.0,324.0,,,,,,,,,
HB-000002,Suizo,hotel,Barcelona,080193,el Barri Gòtic,3 estrelles,3.0,hotel_estrellas,99.0,50.0,229.0,41.38381826558655,2.17832017276016,exacta,155.60000610351562,€€,78.59,€€€,True,suficiente
HB-000005,Hostal Abrevadero,hotel,Barcelona,080193,el Poble Sec,No aplica,,sin_estrellas,45.0,25.0,414.0,41.3741977,2.16847754,geocodificada,107.72000122070312,€€,59.84,€€,True,justo
HB-000006,Hostal Valls,hotel,Barcelona,080193,Sant Gervasi - Galvany,No aplica,,sin_estrellas,17.0,9.0,,41.39730878,2.14663789,geocodificada,112.91000366210938,€€,59.78,€€,True,suficiente
HB-000011,HOTEL FORNOS,hotel,Barcelona,080193,el Barri Gòtic,2 estrelles,2.0,hotel_estrellas,47.0,29.0,932.0,41.37959188566095,2.1749199534758232,exacta,174.41,€€,107.61,€€€,False,observado
HB-000012,Granvía,hotel,Barcelona,080193,la Dreta de l'Eixample,3 estrelles,3.0,hotel_estrellas,105.0,58.0,205.0,41.39005003654941,2.169525637778747,exacta,225.06,€€€,124.32,€€€€,False,observado
HB-000016,Avenida Palace,hotel,Barcelona,080193,la Dreta de l'Eixample,4 estrelles,4.0,hotel_estrellas,274.0,150.0,556.0,41.3890669628778,2.167360082559941,exacta,207.32,€€€,113.5,€€€,False,observado
HB-000017,Astoria,hotel,Barcelona,080193,l'Antiga Esquerra de l'Eixample,3 estrelles,3.0,hotel_estrellas,205.0,117.0,8.0,41.39400038288808,2.153522866045725,exacta,135.01,€€,77.05,€€€,False,observado
HB-000018,Regina,hotel,Barcelona,080193,la Dreta de l'Eixample,4 estrelles,4.0,hotel_estrellas,176.0,99.0,35.0,41.38596221474435,2.1679174068507456,exacta,199.47,€€€,112.2,€€€,False,observado
HB-000019,Hostal París,hotel,Barcelona,080193,el Barri Gòtic,No aplica,,sin_estrellas,68.0,41.0,985.0,41.38151775,2.17345019,geocodificada,130.97,€€,78.97,€€€,False,observado
HB-000022,Autohogar,hotel,Barcelona,080193,el Raval,3 estrelles,3.0,hotel_estrellas,276.0,152.0,7.0,41.37518687076357,2.169408733101533,exacta,91.6,€,50.45,€€,False,observado
HB-000023,Regencia Colón,hotel,Barcelona,080193,el Barri Gòtic,3 estrelles,3.0,hotel_estrellas,95.0,50.0,5.0,41.3853321424925,2.175631560214969,exacta,154.75999450683594,€€,81.45,€€€,True,suficiente
HB-000025,Lloret,hotel,Barcelona,080193,el Raval,1 estrella,1.0,hotel_estrellas,98.0,56.0,,41.384856019140464,2.170219188630123,exacta,120.78,€€,69.02,€€,False,observado
HB-000026,Rialto,hotel,Barcelona,080193,el Barri Gòtic,3 estrelles,3.0,hotel_estrellas,370.0,205.0,225.0,41.38211239514697,2.1764859594212758,exacta,129.99,€€,72.02,€€€,False,observado
HB-000030,San Agustín,hotel,Barcelona,080193,el Raval,3 estrelles,3.0,hotel_estrellas,146.0,77.0,200.0,41.38053937421624,2.1716098075677057,exacta,114.62,€€,60.45,€€,False,observado
HB-000033,Hostal Operaramblas,hotel,Barcelona,080193,el Raval,No aplica,,sin_estrellas,116.0,68.0,1003.0,41.38023634,2.17288382,geocodificada,122.01000213623048,€€,71.52,€€€,True,justo
HB-000034,Inglés,hotel,Barcelona,080193,el Barri Gòtic,1 estrella,1.0,hotel_estrellas,44.0,28.0,227.0,41.38149751809368,2.1739836073152587,exacta,128.44000244140625,€€,81.73,€€€,True,suficiente
HB-000035,INTERNACIONAL RAMBLAS ATIRAM HOTEL,hotel,Barcelona,080193,el Barri Gòtic,1 estrella,1.0,hotel_estrellas,92.0,60.0,847.0,41.3811241297046,2.1735930187947985,exacta,131.66000366210938,€€,85.87,€€€,True,suficiente
HB-000036,Jardí,hotel,Barcelona,080193,el Barri Gòtic,No aplica,,sin_estrellas,65.0,40.0,92.0,41.38250273,2.17396256,geocodificada,119.41,€€,73.48,€€€,False,observado
HB-000038,Majestic,hotel,Barcelona,080193,la Dreta de l'Eixample,Gran luxe,5.0,hotel_estrellas,531.0,274.0,708.0,41.39349340602512,2.1638241954906543,exacta,336.52,€€€€,173.65,€€€€,False,observado
HB-000039,Le Meridien Barcelona,hotel,Barcelona,080193,el Raval,Gran luxe,5.0,hotel_estrellas,466.0,233.0,387.0,41.3839066821341,2.1709265519982144,exacta,353.85,€€€€,176.92,€€€€,False,observado
HB-000041,Moderno,hotel,Barcelona,080193,el Raval,3 estrelles,3.0,hotel_estrellas,86.0,49.0,226.0,41.3810692133775,2.172720867502443,exacta,146.5,€€,83.47,€€€,False,observado
HB-000042,Mesón de Castilla Atiram Hotel,hotel,Barcelona,080193,el Raval,2 estrelles,2.0,hotel_estrellas,90.0,57.0,109.0,41.38473901311326,2.1665352954464194,exacta,146.25,€€,92.62,€€€,False,observado
HB-000043,Montecarlo,hotel,Barcelona,080193,el Poble Sec,4 estrelles,4.0,hotel_estrellas,96.0,51.0,214.0,41.37394283,2.16883799,geocodificada,158.32000732421875,€€,84.11,€€€,True,suficiente
HB-000047,Cataluña,hotel,Barcelona,080193,el Barri Gòtic,2 estrelles,2.0,hotel_estrellas,61.0,40.0,206.0,41.38548562672458,2.171754068301337,exacta,169.52,€€,111.16,€€€,False,observado
HB-000049,COLÓN,hotel,Barcelona,080193,el Barri Gòtic,5 estrelles,5.0,hotel_estrellas,252.0,125.0,5.0,41.38490946085381,2.1757421345687917,exacta,355.0799865722656,€€€€,176.13,€€€€,True,suficiente
HB-000050,Comercio,hotel,Barcelona,080193,el Barri Gòtic,1 estrella,1.0,hotel_estrellas,88.0,51.0,,41.37936108,2.17607158,geocodificada,131.6300048828125,€€,76.29,€€€,True,suficiente
HB-000051,HOTEL CONDAL,hotel,Barcelona,080193,el Barri Gòtic,3 estrelles,3.0,hotel_estrellas,92.0,52.0,367.0,41.38156813651423,2.1742622276082075,exacta,172.74,€€,97.64,€€€,False,observado
HB-000053,Continental,hotel,Barcelona,080193,el Barri Gòtic,3 estrelles,3.0,hotel_estrellas,73.0,40.0,6.0,41.38514182378773,2.170638831395403,exacta,149.3699951171875,€€,81.85,€€€,True,suficiente
HB-000055,Ibiza,hotel,Sitges,082704,,1 estrella,,,36.0,20.0,,41.23719626,1.80932732,geocodificada,,,,,,
HB-000061,ME SITGES TERRAMAR,hotel,Sitges,082704,,5 estrelles,,,426.0,213.0,851.0,41.22522198,1.78762399,geocodificada,,,,,,
HB-000062,Subur,hotel,Sitges,082704,,3 estrelles,,,168.0,95.0,342.0,41.23492257,1.81113586,geocodificada,,,,,,
HB-000063,Roma Reial,hotel,Barcelona,080193,el Barri Gòtic,1 estrella,1.0,hotel_estrellas,95.0,52.0,412.0,41.3800844064027,2.17582156576961,exacta,133.08999633789062,€€,72.85,€€€,True,suficiente
HB-000064,El Palace,hotel,Barcelona,080193,la Dreta de l'Eixample,Gran luxe,5.0,hotel_estrellas,244.0,120.0,722.0,41.39159498396441,2.17158164718764,exacta,326.5199890136719,€€€€,160.58,€€€€,True,suficiente
HB-000066,Condado,hotel,Barcelona,080193,Sant Gervasi - Galvany,3 estrelles,3.0,hotel_estrellas,146.0,76.0,95.0,41.39571761482612,2.149499078428965,exacta,123.78,€€,64.43,€€,False,observado
