id,name,host_id,host_name,calculated_host_listings_count,neighbourhood_group,neighbourhood,latitude,longitude,room_type,property_type,accommodates,bedrooms,beds,minimum_nights,precio_anuncio,precio_por_plaza,availability_365,number_of_reviews,number_of_reviews_ltm,last_review,review_scores_rating,license,price,licencia_regional,categoria_licencia,licencia_norm,prefijo,consta_en_registro,estado_licencia,motivo_estado,last_review_dt,motivo_exclusion
703973,Sagrada Familia Apartment Eixample 43,3615168.0,Eduardo,6.0,Eixample,la Dreta de l'Eixample,41.39709,2.16948,Entire home/apt,Entire rental unit,3.0,2.0,,3.0,,,0,82,0,2024-11-17,4.84,Spain - National registration number<br />ESHFTU00000805400043229501600000000000000HUTB-0053789<br /><br />Barcelona - Regional registration number<br />HUTB-005378,,HUTB-005378,Apartamento turístico (HUTB / TU),HUTB-005378,HUTB,True,con_licencia,consta en el registro oficial,2024-11-17,sin_actividad_desde_09_2025
703978,Sagrada Familia Apartment Eixample 33,3615168.0,Eduardo,6.0,Eixample,la Dreta de l'Eixample,41.39855,2.17104,Entire home/apt,Entire rental unit,4.0,2.0,,3.0,,,0,20,0,2025-03-06,4.8,Spain - National registration number<br />ESHFTU00000805400043229501300000000000000HUTB-0012987<br /><br />Barcelona - Regional registration number<br />HUTB-001298,,HUTB-001298,Apartamento turístico (HUTB / TU),HUTB-001298,HUTB,True,con_licencia,consta en el registro oficial,2025-03-06,sin_actividad_desde_09_2025
721473,Apartment 2 bedrooms near to Sagrada Familia,3724467.0,EasySleep,12.0,Eixample,el Fort Pienc,41.39884,2.17697,Entire home/apt,Entire rental unit,4.0,2.0,4.0,1.0,250.0,62.5,130,3,0,2018-06-17,4.33,Barcelona - Regional registration number<br />HUTB010318<br /><br />Spain - National registration number<br />ESHFTU00000807300099439801900000000000000HUTB-0103182,250.0,HUTB010318,Apartamento turístico (HUTB / TU),HUTB-010318,HUTB,True,con_licencia,consta en el registro oficial,2018-06-17,sin_actividad_desde_09_2025
721510,2 bedroom apartment near to Sagrada Familia,3724467.0,EasySleep,12.0,Eixample,la Dreta de l'Eixample,41.39795,2.1703,Entire home/apt,Entire rental unit,6.0,2.0,3.0,2.0,222.75,37.12,125,2,0,2022-06-12,5.0,Barcelona - Regional registration number<br />HUTB007880<br /><br />Spain - National registration number<br />ESHFTU00000805400024976301300000000000000HUTB-0078804,222.75,HUTB007880,Apartamento turístico (HUTB / TU),HUTB-007880,HUTB,True,con_licencia,consta en el registro oficial,2022-06-12,sin_actividad_desde_09_2025
750066,Stylish apartment Sant Antoni with balcony,3193594.0,Jan,10.0,Eixample,Sant Antoni,41.37786,2.16314,Entire home/apt,Entire rental unit,2.0,1.0,,4.0,221.0,110.5,16,5,0,2024-07-05,4.8,Barcelona - Regional registration number<br />HUTB-004433<br /><br />Spain - National registration number<br />ESFCTU00000806900021566300000000000000000HUTB-0044330,221.0,HUTB-004433,Apartamento turístico (HUTB / TU),HUTB-004433,HUTB,True,con_licencia,consta en el registro oficial,2024-07-05,sin_actividad_desde_09_2025
832755,AMAZING BOUTIQUE APARTMENT. AN OASIS IN BARCELONA,4358678.0,Aitcar Bcn Indulging Apartments Sl,1.0,Sant Martí,el Poblenou,41.40385,2.19869,Entire home/apt,Entire rental unit,8.0,3.0,4.0,3.0,418.0,52.25,15,9,2,2025-08-18,5.0,Barcelona - Regional registration number<br />HUTB-002769<br /><br />Spain - National registration number<br />ESFCTU00000807200066565900000000000000000HUTB-0027690,418.0,HUTB-002769,Apartamento turístico (HUTB / TU),HUTB-002769,HUTB,True,con_licencia,consta en el registro oficial,2025-08-18,sin_actividad_desde_09_2025
895091,Spectacular Five Senses  Mallorca Apartment,4585497.0,Ann-Veronique,1.0,Eixample,l'Antiga Esquerra de l'Eixample,41.38882,2.15558,Entire home/apt,Entire rental unit,6.0,3.0,4.0,1.0,329.04,54.84,184,348,0,2025-06-09,4.66,Spain - National registration number<br />ESFCTU00000806000012266100000000000000000HUTB-0010850<br /><br />Barcelona - Regional registration number<br />HUTB-001085,329.04,HUTB-001085,Apartamento turístico (HUTB / TU),HUTB-001085,HUTB,True,con_licencia,consta en el registro oficial,2025-06-09,sin_actividad_desde_09_2025
903135,Spacious Diagonal Avenue 3 bedrooms.6 pax,3972936.0,Willem,17.0,Les Corts,les Corts,41.39084,2.14219,Entire home/apt,Entire rental unit,6.0,3.0,5.0,2.0,207.0,34.5,27,100,1,2025-07-17,4.22,Spain - National registration number<br />ESFCTU00000806000008014500000000000000000HUTB-0047597<br /><br />Barcelona - Regional registration number<br />HUTB-004759,207.0,HUTB-004759,Apartamento turístico (HUTB / TU),HUTB-004759,HUTB,True,con_licencia,consta en el registro oficial,2025-07-17,sin_actividad_desde_09_2025
912414,Cozy Apartment near to Plaza España,4895881.0,Sergio,1.0,Sants-Montjuïc,Hostafrancs,41.37585,2.14478,Entire home/apt,Entire condo,2.0,1.0,1.0,5.0,285.4,142.7,340,185,0,2025-06-07,4.71,Barcelona - Regional registration number<br />HUTB-008378<br /><br />Spain - National registration number<br />ESFCTU0000080680002544810000000000000000HUTB008378681,285.4,HUTB-008378,Apartamento turístico (HUTB / TU),HUTB-008378,HUTB,True,con_licencia,consta en el registro oficial,2025-06-07,sin_actividad_desde_09_2025
1034761,OLYMPIC VILLAGE. CITY & BEACH,5695022.0,Rosario,1.0,Sant Martí,el Poblenou,41.39481,2.20087,Entire home/apt,Entire rental unit,4.0,2.0,3.0,1.0,353.67,88.42,220,53,0,2024-07-28,4.49,Barcelona - Regional registration number<br />HUTB-001825<br /><br />Spain - National registration number<br />ESFCTU000008072000702057000000000000000HUBT-001825875,353.67,HUTB-001825,Apartamento turístico (HUTB / TU),HUTB-001825,HUTB,True,con_licencia,consta en el registro oficial,2024-07-28,sin_actividad_desde_09_2025
1206052,Sagrada Familia - Nice apartment,2848016.0,Eloi,1.0,Eixample,la Sagrada Família,41.40927,2.17599,Entire home/apt,Entire rental unit,4.0,2.0,3.0,3.0,239.67,59.92,102,57,0,2024-10-04,4.88,Barcelona - Regional registration number<br />HUTB-006999<br /><br />Spain - National registration number<br />ESFCTU00000805800033444300000000000000000HUTB-0069995,239.67,HUTB-006999,Apartamento turístico (HUTB / TU),HUTB-006999,HUTB,True,con_licencia,consta en el registro oficial,2024-10-04,sin_actividad_desde_09_2025
1266363,Picasso Suites 3.1 Paseo de Gracia,131794.0,Damien,22.0,Eixample,la Dreta de l'Eixample,41.39753312094096,2.1695397967089383,Entire home/apt,Entire rental unit,8.0,3.0,3.0,1.0,313.67,39.21,325,170,1,2025-07-25,4.65,Spain - National registration number<br />ESFCTU00A00805400018090500000000000000000HUTB-0056312<br /><br />Barcelona - Regional registration number<br />HUTB-005631,313.67,HUTB-005631,Apartamento turístico (HUTB / TU),HUTB-005631,HUTB,True,con_licencia,consta en el registro oficial,2025-07-25,sin_actividad_desde_09_2025
1327003,Beach and down town at two steps. (HUTB-005567),663209.0,Walter,1.0,Eixample,Sant Antoni,41.3759,2.16294,Entire home/apt,Entire rental unit,4.0,3.0,,2.0,,,0,7,0,2015-09-23,4.43,Barcelona - Regional registration number<br />HUTB-005567<br /><br />Spain - National registration number<br />ESFCTU00000806900028549900000000000000000HUTB-0055675,,HUTB-005567,Apartamento turístico (HUTB / TU),HUTB-005567,HUTB,True,con_licencia,consta en el registro oficial,2015-09-23,sin_actividad_desde_09_2025
1387806,"bl2 ""Acomodis"" Great Flat - Poble Sec Center!",1447144.0,Acomodis Apartments,448.0,Sants-Montjuïc,el Poble Sec,41.37193,2.1674,Entire home/apt,Entire rental unit,5.0,2.0,2.0,1.0,252.0,50.4,365,1,0,2014-04-14,5.0,Barcelona - Regional registration number<br />HUTB-005943,252.0,HUTB-005943,Apartamento turístico (HUTB / TU),HUTB-005943,HUTB,True,con_licencia,consta en el registro oficial,2014-04-14,sin_actividad_desde_09_2025
1406121,Gracia Bliss,2439400.0,KeyBarcelona,27.0,Eixample,la Sagrada Família,41.40767,2.1699,Entire home/apt,Entire rental unit,8.0,4.0,5.0,2.0,401.0,50.12,308,91,0,2023-07-09,4.27,Spain - National registration number<br />ESFCTU00000805800012300900000000000000000000000046462<br /><br />Barcelona - Regional registration number<br />HUTB-004646,401.0,HUTB-004646,Apartamento turístico (HUTB / TU),HUTB-004646,HUTB,True,con_licencia,consta en el registro oficial,2023-07-09,sin_actividad_desde_09_2025
1429809,076. New Calabria Apartment,396363.0,Alcam Apartments,42.0,Eixample,Sant Antoni,41.37909,2.15582,Entire home/apt,Entire rental unit,6.0,3.0,5.0,2.0,447.0,74.5,332,16,0,2025-01-05,4.25,Spain - National registration number<br />ESFCTU000008067000510221000000000000000HUTB-004217224<br /><br />Barcelona - Regional registration number<br />HUTB-004217,447.0,HUTB-004217,Apartamento turístico (HUTB / TU),HUTB-004217,HUTB,True,con_licencia,consta en el registro oficial,2025-01-05,sin_actividad_desde_09_2025
1560631,"Disfruta Barcelona, C. Condal 3 a 6 p.",8304893.0,Anna Maria,3.0,Eixample,el Fort Pienc,41.39359,2.1784,Entire home/apt,Entire rental unit,6.0,4.0,4.0,6.0,279.67,46.61,235,143,0,2024-05-01,4.66,Barcelona - Regional registration number<br />HUTB-003880<br /><br />Spain - National registration number<br />ESFCTU00000805400049835200000000000000000HUTB-0038805,279.67,HUTB-003880,Apartamento turístico (HUTB / TU),HUTB-003880,HUTB,True,con_licencia,consta en el registro oficial,2024-05-01,sin_actividad_desde_09_2025
1616453,"bl1 ""Acomodis"" Happy Flat - Center Poble Sec!",1447144.0,Acomodis Apartments,448.0,Sants-Montjuïc,el Poble Sec,41.37179,2.16581,Entire home/apt,Entire rental unit,5.0,2.0,2.0,1.0,252.0,50.4,365,2,0,2014-09-27,5.0,Barcelona - Regional registration number<br />HUTB-005943,252.0,HUTB-005943,Apartamento turístico (HUTB / TU),HUTB-005943,HUTB,True,con_licencia,consta en el registro oficial,2014-09-27,sin_actividad_desde_09_2025
1808631,Apartment Ripoll WHITE,9478280.0,Angelica Y Pia,24.0,Ciutat Vella,el Barri Gòtic,41.38458,2.1741,Entire home/apt,Entire rental unit,4.0,2.0,3.0,1.0,355.67,88.92,122,60,0,2025-06-15,4.58,Spain - National registration number<br />ESFCTU00000805400049914400000000000000HUTB-001669-519<br /><br />Barcelona - Regional registration number<br />HUTB-001667,355.67,HUTB-001667,Apartamento turístico (HUTB / TU),HUTB-001667,HUTB,True,con_licencia,consta en el registro oficial,2025-06-15,sin_actividad_desde_09_2025
1808891,Apartment GREEN in the heart of Old Town,9478280.0,Angelica Y Pia,24.0,Ciutat Vella,el Barri Gòtic,41.3863,2.17423,Entire home/apt,Entire rental unit,4.0,2.0,3.0,1.0,377.67,94.42,97,6,0,2025-05-11,5.0,Spain - National registration number<br />ESFCTU00000805400049913700000000000000HUTB-001668-888<br /><br />Barcelona - Regional registration number<br />HUTB-001669,377.67,HUTB-001669,Apartamento turístico (HUTB / TU),HUTB-001669,HUTB,True,con_licencia,consta en el registro oficial,2025-05-11,sin_actividad_desde_09_2025
1831778,Picasso Suites 2.2 Paseo de Gracia,131794.0,Damien,22.0,Eixample,la Dreta de l'Eixample,41.39759608789896,2.16819292330227,Entire home/apt,Entire rental unit,7.0,3.0,3.0,1.0,460.0,65.71,335,67,0,2024-10-06,4.7,Spain - National registration number<br />ESFCTU00A00805400018090500000000000000000HUTB-0067769<br /><br />Barcelona - Regional registration number<br />HUTB-006776,460.0,HUTB-006776,Apartamento turístico (HUTB / TU),HUTB-006776,HUTB,True,con_licencia,consta en el registro oficial,2024-10-06,sin_actividad_desde_09_2025
2342332,Sagrada Familia Bliss,2439400.0,KeyBarcelona,27.0,Eixample,la Sagrada Família,41.40582,2.17556,Entire home/apt,Entire rental unit,4.0,2.0,3.0,2.0,260.5,65.12,329,18,0,2025-03-09,4.11,Barcelona - Regional registration number<br />HUTB-014175<br /><br />Spain - National registration number<br />ESFCTU00000807300091630700000000000000000HUTB-0141754,260.5,HUTB-014175,Apartamento turístico (HUTB / TU),HUTB-014175,HUTB,True,con_licencia,consta en el registro oficial,2025-03-09,sin_actividad_desde_09_2025
2439285,Mercedes Heritage-Apartamento de 3 Dorms y Terraza,2201772.0,Mercedes Heritage Apartments,8.0,Eixample,l'Antiga Esquerra de l'Eixample,41.38792,2.15233,Entire home/apt,Entire serviced apartment,6.0,3.0,4.0,1.0,312.0,52.0,151,12,0,2025-05-25,4.75,Spain - National registration number<br />ESFCTU00H00806000017771500000000000000000HUTB-0049708<br /><br />Barcelona - Regional registration number<br />HUTB-004970,312.0,HUTB-004970,Apartamento turístico (HUTB / TU),HUTB-004970,HUTB,True,con_licencia,consta en el registro oficial,2025-05-25,sin_actividad_desde_09_2025
2732115,Lovely apartment en Sagrada Familia,13982632.0,Rosa M,1.0,Eixample,la Sagrada Família,41.40849,2.1721,Entire home/apt,Entire rental unit,7.0,3.0,5.0,1.0,,,167,162,0,2019-12-29,4.46,Barcelona - Regional registration number<br />HUTB-012027,,HUTB-012027,Apartamento turístico (HUTB / TU),HUTB-012027,HUTB,True,con_licencia,consta en el registro oficial,2019-12-29,sin_actividad_desde_09_2025
2758050,Gracia Terrace,2439400.0,KeyBarcelona,27.0,Gràcia,la Vila de Gràcia,41.40034,2.15985,Entire home/apt,Entire rental unit,6.0,2.0,5.0,2.0,262.0,43.67,303,120,0,2025-03-21,4.23,Barcelona - Regional registration number<br />HUTB-009207<br /><br />Spain - National registration number<br />ESFCTU00000806600023391800000000000000000HUTB-0092072,262.0,HUTB-009207,Apartamento turístico (HUTB / TU),HUTB-009207,HUTB,True,con_licencia,consta en el registro oficial,2025-03-21,sin_actividad_desde_09_2025
3036626,Apartment Ripoll RED,9478280.0,Angelica Y Pia,24.0,Ciutat Vella,el Barri Gòtic,41.3865,2.17445,Entire home/apt,Entire rental unit,4.0,2.0,4.0,1.0,355.67,88.92,94,33,0,2023-05-19,4.73,Spain - National registration number<br />ESFCTU00000805400049912000000000000000HUTB-001667-454<br /><br />Barcelona - Regional registration number<br />HUTB-001668,355.67,HUTB-001668,Apartamento turístico (HUTB / TU),HUTB-001668,HUTB,True,con_licencia,consta en el registro oficial,2023-05-19,sin_actividad_desde_09_2025
3318625,Nice and quiet apartment.,16755009.0,Tse,1.0,Sant Andreu,Sant Andreu,41.43776,2.18669,Entire home/apt,Entire rental unit,4.0,2.0,,1.0,107.0,26.75,246,182,0,2022-08-23,4.63,Barcelona - Regional registration number<br />HUTB-012047,107.0,HUTB-012047,Apartamento turístico (HUTB / TU),HUTB-012047,HUTB,True,con_licencia,consta en el registro oficial,2022-08-23,sin_actividad_desde_09_2025
3374070,CAMP NOU STADIUM:MODERN AND COZY APARTMENT,17025004.0,Jose,1.0,Les Corts,la Maternitat i Sant Ramon,41.37652,2.11416,Entire home/apt,Entire rental unit,3.0,1.0,1.0,7.0,72.14,24.05,44,256,0,2020-11-01,4.85,Barcelona - Regional registration number<br />HUTB-011997,72.14,HUTB-011997,Apartamento turístico (HUTB / TU),HUTB-011997,HUTB,True,con_licencia,consta en el registro oficial,2020-11-01,sin_actividad_desde_09_2025
3515542,Lovely & Quiet apartment BCN Center,17701714.0,Sonia,1.0,Sants-Montjuïc,el Poble Sec,41.37126,2.16478,Entire home/apt,Entire rental unit,6.0,3.0,,2.0,,,0,272,0,2020-03-10,4.57,Barcelona - Regional registration number<br />HUTB-009415,,HUTB-009415,Apartamento turístico (HUTB / TU),HUTB-009415,HUTB,True,con_licencia,consta en el registro oficial,2020-03-10,sin_actividad_desde_09_2025
3548439,"FLAT W/ TERRACE, SEA VIEW+PARKING",17863445.0,Segolene,1.0,Horta-Guinardó,el Guinardó,41.41729,2.17317,Entire home/apt,Entire rental unit,8.0,3.0,,2.0,,,0,95,0,2021-08-08,4.69,Barcelona - Regional registration number<br />HUTB-012488,,HUTB-012488,Apartamento turístico (HUTB / TU),HUTB-012488,HUTB,True,con_licencia,consta en el registro oficial,2021-08-08,sin_actividad_desde_09_2025
4310497,Beautiful flat in Eixample 5,10231574.0,Graciela,2.0,Eixample,la Nova Esquerra de l'Eixample,41.38238,2.14829,Entire home/apt,Entire rental unit,4.0,2.0,3.0,2.0,456.5,114.12,76,67,0,2025-01-04,4.78,Barcelona - Regional registration number<br />HUTB-003774,456.5,HUTB-003774,Apartamento turístico (HUTB / TU),HUTB-003774,HUTB,True,con_licencia,consta en el registro oficial,2025-01-04,sin_actividad_desde_09_2025
4691263,Plaza Cataluña Bliss,2439400.0,KeyBarcelona,27.0,Eixample,la Dreta de l'Eixample,41.38755,2.16553,Entire home/apt,Entire rental unit,8.0,4.0,,1.0,,,0,128,0,2024-08-13,4.36,Barcelona - Regional registration number<br />HUTB-010010<br /><br />Spain - National registration number<br />ESFCTU00000805600027796800000000000000000HUTB-0100106,,HUTB-010010,Apartamento turístico (HUTB / TU),HUTB-010010,HUTB,True,con_licencia,consta en el registro oficial,2024-08-13,sin_actividad_desde_09_2025
4699752,"Stroll to Camp Nou from a Modern, Sunny Apartment",24291564.0,Casto,1.0,Les Corts,les Corts,41.38327,2.13019,Entire home/apt,Entire rental unit,5.0,3.0,5.0,7.0,339.14,67.83,361,26,0,2019-10-22,4.62,Barcelona - Regional registration number<br />HUTB-012907<br /><br />Spain - National registration number<br />ESFCTU00000806500032200400000000000000000HUTB-0129079,339.14,HUTB-012907,Apartamento turístico (HUTB / TU),HUTB-012907,HUTB,True,con_licencia,consta en el registro oficial,2019-10-22,sin_actividad_desde_09_2025
4764274,Luxurious Apartment Near Beach,24581284.0,Eli,1.0,Sant Martí,Provençals del Poblenou,41.40914,2.20444,Entire home/apt,Entire rental unit,4.0,2.0,3.0,2.0,559.5,139.88,329,52,0,2024-02-03,4.38,Barcelona - Regional registration number<br />HUTB-009022<br /><br />Spain - National registration number<br />ESFCTU000008138000674487000000000000000000HUTB0090222,559.5,HUTB-009022,Apartamento turístico (HUTB / TU),HUTB-009022,HUTB,True,con_licencia,consta en el registro oficial,2024-02-03,sin_actividad_desde_09_2025
5068892,pb2 IDEAL LOCATION! WITH TERRACE CHARMING & QUIET,1447144.0,Acomodis Apartments,448.0,Eixample,l'Antiga Esquerra de l'Eixample,41.38956,2.15072,Entire home/apt,Entire rental unit,2.0,1.0,2.0,25.0,185.36,92.68,347,4,0,2020-03-15,4.75,Barcelona - Regional registration number<br />HUTB-000166,185.36,HUTB-000166,Apartamento turístico (HUTB / TU),HUTB-000166,HUTB,True,con_licencia,consta en el registro oficial,2020-03-15,sin_actividad_desde_09_2025
5475163,Barcelona Retreat: 2BR w/ Pvt Terrace near Beach,28388457.0,Eduardo,21.0,Sant Martí,la Vila Olímpica del Poblenou,41.39152,2.1924,Entire home/apt,Entire rental unit,4.0,2.0,4.0,1.0,277.0,69.25,142,154,0,2024-07-02,4.4,Barcelona - Regional registration number<br />HUTB-000841<br /><br />Spain - National registration number<br />ESFCTU00000807200071880500000000000000000HUTB-0008417,277.0,HUTB-000841,Apartamento turístico (HUTB / TU),HUTB-000841,HUTB,True,con_licencia,consta en el registro oficial,2024-07-02,sin_actividad_desde_09_2025
5671013,Cute Apartment Sants Station w/HBO & Alexa & A/C,8457609.0,Lalie & Jordi,2.0,Les Corts,les Corts,41.38446,2.1409,Entire home/apt,Entire rental unit,3.0,2.0,2.0,2.0,249.0,83.0,75,97,0,2025-03-16,4.74,Barcelona - Regional registration number<br />HUTB-005606,249.0,HUTB-005606,Apartamento turístico (HUTB / TU),HUTB-005606,HUTB,True,con_licencia,consta en el registro oficial,2025-03-16,sin_actividad_desde_09_2025
5724813,Tapioles · Lovely apartment in Poble Sec,9478280.0,Angelica Y Pia,24.0,Sants-Montjuïc,el Poble Sec,41.3745,2.16338,Entire home/apt,Entire rental unit,4.0,2.0,3.0,1.0,236.0,59.0,76,66,0,2025-06-15,4.45,Spain - National registration number<br />ESFCTU00000806900013221200000000000000HUTB-009803-605<br /><br />Barcelona - Regional registration number<br />HUTB-009803,236.0,HUTB-009803,Apartamento turístico (HUTB / TU),HUTB-009803,HUTB,True,con_licencia,consta en el registro oficial,2025-06-15,sin_actividad_desde_09_2025
6235783,Lovely quiet apartment next to El Born,10586740.0,Carlos,1.0,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38876,2.18187,Entire home/apt,Entire rental unit,4.0,1.0,,3.0,,,0,148,0,2020-02-11,4.47,Barcelona - Regional registration number<br />HUTB-002786,,HUTB-002786,Apartamento turístico (HUTB / TU),HUTB-002786,HUTB,True,con_licencia,consta en el registro oficial,2020-02-11,sin_actividad_desde_09_2025
6395411,3 bedroom apartment in Plaza España,3376710.0,Marianne,12.0,Sants-Montjuïc,el Poble Sec,41.37333,2.15575,Entire home/apt,Entire rental unit,6.0,3.0,5.0,3.0,282.33,47.06,196,15,0,2025-04-07,3.67,Barcelona - Regional registration number<br />HUTB-007770<br /><br />Spain - National registration number<br />ESFCTU00000806900006246500000000000000000HUTB-0077703,282.33,HUTB-007770,Apartamento turístico (HUTB / TU),HUTB-007770,HUTB,True,con_licencia,consta en el registro oficial,2025-04-07,sin_actividad_desde_09_2025
6669821,3 apartments in Diagonal Mar,5729069.0,Barcelona,14.0,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40227,2.21008,Entire home/apt,Entire rental unit,14.0,8.0,16.0,3.0,2100.0,150.0,180,4,0,2025-06-09,4.75,Spain - National registration number<br />ESFCTU00000807200076802200000000000000000HUTB-0087531<br /><br />Barcelona - Regional registration number<br />HUTB-008753,2100.0,HUTB-008753,Apartamento turístico (HUTB / TU),HUTB-008753,HUTB,True,con_licencia,consta en el registro oficial,2025-06-09,sin_actividad_desde_09_2025
7288715,"Well designed, very clean, comfortable - Barcelona",38169857.0,Toni,2.0,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39428,2.14304,Entire home/apt,Entire rental unit,3.0,3.0,,5.0,,,0,94,0,2020-01-02,4.97,Barcelona - Regional registration number<br />HUTB-007478<br /><br />Spain - National registration number<br />ESFCNT00000805900027694800000000000000000000000000007,,HUTB-007478,Apartamento turístico (HUTB / TU),HUTB-007478,HUTB,True,con_licencia,consta en el registro oficial,2020-01-02,sin_actividad_desde_09_2025
